"menu_id";"r_id";"f_id";"price"
469;1;859;97
470;10;350;524
471;8;720;260
472;10;594;62
473;4;753;364
474;10;667;335
475;9;674;401
476;6;498;499
477;1;387;482
478;2;303;529
479;9;625;245
480;2;334;224
481;8;750;265
482;10;376;79
483;2;731;85
484;2;757;131
485;6;361;88
486;4;334;407
487;6;792;129
488;5;752;242
489;7;308;274
490;4;294;284
491;5;989;279
492;4;433;78
493;1;860;167
494;7;428;169
495;10;909;411
496;10;433;240
497;7;964;504
498;7;720;297
499;4;205;549
500;4;976;372
501;4;739;375
502;1;360;346
503;9;724;491
504;3;695;365
505;1;604;395
506;7;242;153
507;4;974;483
508;5;634;447
509;1;87;123
510;5;948;181
511;5;709;56
512;10;771;514
513;4;9;531
514;8;75;544
515;8;655;84
516;5;805;438
517;5;158;193
518;10;987;537
519;10;839;197
520;10;30;149
521;10;944;524
522;10;878;306
523;10;248;228
524;1;189;439
525;4;335;377
526;3;449;235
527;6;525;56
528;6;529;87
529;9;803;329
530;5;412;441
531;7;107;277
532;10;434;185
533;1;509;213
534;2;647;463
535;3;611;233
536;1;30;82
537;3;5;200
538;5;555;185
539;8;746;329
540;6;234;254
541;4;534;342
542;4;986;466
543;3;733;492
544;3;619;199
545;7;418;88
546;2;509;87
547;9;123;548
548;7;128;429
549;5;816;441
550;5;143;154
551;7;484;313
552;3;437;324
553;5;613;389
554;6;842;270
555;8;223;537
556;3;162;123
557;3;853;272
558;7;155;385
559;9;468;364
560;8;900;141
561;3;696;399
562;5;38;502
563;5;356;310
564;6;180;171
565;7;677;204
566;6;781;169
567;9;674;402
568;6;500;503
569;1;556;341
570;3;606;141
571;2;59;512
572;5;497;97
573;10;715;320
574;6;306;426
575;9;60;400
576;4;549;412
577;10;823;87
578;10;436;229
579;6;464;435
580;5;86;541
581;7;362;452
582;10;363;512
583;6;1009;210
584;7;121;422
585;4;628;543
586;1;402;435
587;7;14;85
588;4;370;489
589;4;886;285
590;8;233;531
591;2;754;222
592;5;418;347
593;8;923;220
594;10;836;161
595;7;520;380
596;8;826;451
597;6;428;256
598;8;761;232
599;6;753;59
600;9;267;412
601;9;1004;280
602;4;273;226
603;10;747;456
604;9;816;293
605;1;632;84
606;5;148;210
607;2;864;441
608;4;412;540
609;7;481;211
610;2;5;267
611;2;523;95
612;10;262;337
613;1;759;283
614;1;22;475
615;2;417;290
616;2;401;289
617;3;614;253
618;3;862;359
619;6;829;295
620;10;514;325
621;3;526;497
622;10;885;369
623;6;949;539
624;1;452;52
625;7;405;525
626;6;923;503
627;8;245;466
628;5;690;101
629;5;41;445
630;9;811;300
631;2;19;438
632;9;815;323
633;4;973;474
634;4;239;104
635;9;868;440
636;4;306;312
637;8;16;511
638;6;62;354
639;9;497;481
640;9;611;303
641;8;75;155
642;9;568;193
643;8;910;169
644;6;800;274
645;9;9;263
646;2;291;96
647;7;759;516
648;5;269;94
649;7;1001;546
650;1;20;97
651;5;822;451
652;6;481;372
653;9;77;534
654;7;202;116
655;1;946;288
656;6;463;326
657;4;325;256
658;2;302;134
659;10;237;212
660;10;641;251
661;2;367;284
662;3;882;347
663;4;2;518
664;7;596;503
665;8;97;144
666;7;751;413
667;5;851;547
668;5;271;543
669;2;719;124
670;7;607;137
671;1;839;517
672;2;125;78
673;10;439;252
674;8;388;429
675;7;950;433
676;1;804;508
677;2;239;344
678;3;441;277
679;10;476;274
680;9;853;400
681;10;770;495
682;2;165;206
683;1;436;517
684;4;99;224
685;5;198;366
686;6;1004;165
687;2;169;210
688;2;558;275
689;6;637;228
690;10;439;283
691;1;751;364
692;10;703;413
693;6;555;103
694;9;110;493
695;2;877;60
696;6;456;422
697;4;640;70
698;4;416;116
699;5;781;327
700;5;648;459
701;2;398;278
702;2;178;323
703;3;408;243
704;8;494;174
705;8;156;264
706;7;131;348
707;6;186;116
708;2;181;322
709;2;326;67
710;3;959;104
711;8;189;461
712;6;320;503
713;6;240;253
714;4;412;79
715;1;195;420
716;2;403;359
717;10;660;327
718;9;422;368
719;10;775;61
720;9;29;390
721;4;554;441
722;3;27;203
723;5;345;223
724;8;532;294
725;9;885;435
726;3;836;275
727;8;511;154
728;6;51;371
729;1;384;405
730;5;978;336
731;10;102;355
732;8;962;291
733;6;379;138
734;8;264;64
735;4;747;348
736;8;73;68
737;10;762;474
738;10;365;479
739;3;498;459
740;7;650;225
741;9;104;58
742;8;837;456
743;6;478;358
744;7;474;225
745;4;708;273
746;2;356;221
747;7;253;191
748;7;496;273
749;8;469;66
750;8;812;384
751;10;709;389
752;3;435;183
753;1;445;76
754;10;572;546
755;3;376;73
756;2;457;501
757;2;90;532
758;6;928;498
759;8;971;356
760;2;66;442
761;8;289;171
762;4;73;187
763;2;1008;293
764;5;778;304
765;3;663;332
766;9;632;314
767;8;272;65
768;4;648;131
769;9;993;162
770;2;241;370
771;5;530;125
772;2;456;405
773;3;897;461
774;5;803;356
775;7;573;445
776;3;898;391
777;8;722;206
778;5;163;322
779;3;590;141
780;2;273;478
781;5;833;390
782;10;644;236
783;10;678;287
784;4;399;489
785;3;435;303
786;3;736;493
787;3;619;197
788;7;330;400
789;6;556;127
790;2;182;305
791;1;550;386
792;8;673;107
793;6;544;529
794;2;42;377
795;2;782;262
796;9;753;204
797;4;651;188
798;5;430;436
799;6;619;200
800;7;460;178
801;10;842;249
802;6;319;82
803;4;715;246
804;9;50;404
805;4;881;127
806;2;337;143
807;10;129;461
808;8;190;421
809;2;555;186
810;8;796;435
811;5;162;207
812;1;541;243
813;4;499;286
814;9;2;228
815;8;827;427
816;4;354;440
817;9;947;105
818;8;423;469
819;10;201;130
820;3;570;144
821;3;707;418
822;6;724;460
823;10;358;488
824;4;988;510
825;7;622;72
826;4;768;381
827;1;189;464
828;6;429;237
829;7;903;376
830;6;987;108
831;7;950;410
832;8;787;313
833;3;921;378
834;6;812;224
835;4;651;151
836;1;834;481
837;9;604;286
838;6;469;343
839;6;984;160
840;2;280;459
841;3;875;316
842;1;742;283
843;2;288;55
844;2;968;146
845;1;906;145
846;3;787;88
847;1;45;77
848;2;558;212
849;10;895;303
850;9;901;453
851;4;393;477
852;2;990;334
853;10;838;261
854;7;892;308
855;10;162;536
856;4;1002;454
857;1;963;315
858;9;424;392
859;2;801;275
860;9;36;321
861;7;435;205
862;3;414;170
863;10;161;483
864;9;692;475
865;3;462;387
866;1;1011;541
867;10;637;250
868;2;381;316
869;6;86;455
870;9;591;304
871;8;444;457
872;8;340;256
873;1;43;71
874;1;300;162
875;3;537;513
876;1;462;118
877;4;157;468
878;8;83;177
879;1;385;457
880;10;207;167
881;6;88;429
882;6;421;281
883;1;945;288
884;6;494;394
885;10;840;157
886;6;266;334
887;1;576;391
888;8;498;217
889;2;986;193
890;6;689;490
891;4;184;455
892;6;114;67
893;9;84;501
894;3;620;186
895;6;804;252
896;7;4;91
897;5;803;421
898;4;439;136
899;6;300;445
900;1;968;343
901;1;572;364
902;5;380;309
903;5;812;347
904;6;55;332
905;7;626;102
906;7;37;134
907;8;189;408
908;1;968;411
909;8;539;272
910;7;799;87
911;1;800;522
912;4;939;341
913;2;921;127
914;1;760;363
915;9;519;514
916;2;741;225
917;6;761;89
918;2;444;444
919;7;785;547
920;7;259;216
921;9;479;392
922;1;994;494
923;5;835;366
924;7;540;353
925;5;360;286
926;4;86;309
927;4;152;413
928;2;730;84
929;2;704;518
930;7;191;121
931;2;302;77
932;4;758;347
933;8;878;122
934;2;182;315
935;2;974;291
936;6;201;251
937;5;907;159
938;5;357;328
939;8;990;401
940;6;785;125
941;5;695;125
942;7;7;529
943;8;1001;365
944;2;12;308
945;6;187;190
946;9;430;331
947;6;22;289
948;4;238;135
949;2;224;382
950;7;314;334
951;10;868;326
952;2;302;508
953;7;710;268
954;1;102;177
955;10;83;301
956;3;834;212
957;2;793;281
958;10;436;181
959;1;327;323
960;8;191;371
961;7;344;418
962;7;99;302
963;3;637;280
964;5;726;213
965;5;415;358
966;9;431;331
967;6;4;250
968;10;797;521
969;4;932;328
970;1;447;120
971;4;495;197
972;1;171;454
973;6;294;459
974;3;676;382
975;4;630;120
976;9;782;222
977;5;1;441
978;10;206;193
979;9;261;458
980;4;101;334
981;6;39;320
982;6;354;531
983;8;956;261
984;3;133;458
985;7;1011;513
986;7;419;125
987;6;134;104
988;2;413;349
989;8;54;527
990;7;205;136
991;3;785;101
992;2;640;347
993;1;617;457
994;3;764;79
995;1;965;397
996;7;971;536
997;10;15;106
998;6;264;422
999;10;471;304
1000;2;213;353
1001;5;210;459
1002;5;934;143
1003;2;256;439
1004;2;325;156
1005;2;886;85
1006;8;423;504
1007;3;755;472
1008;10;424;109
1009;4;359;421
1010;7;30;145
1011;9;790;195
1012;2;705;120
1013;7;643;220
1014;9;1006;329
1015;9;401;317
