"id";"order_id";"f_id"
2395;1157;466
2396;1158;687
2397;1158;15
2398;1158;36
2399;1159;132
2400;1159;553
2401;1159;345
2402;1160;68
2403;1160;314
2404;1160;356
2405;1161;837
2406;1161;83
2407;1161;936
2408;1162;385
2409;1162;130
2410;1162;505
2411;1163;111
2412;1163;49
2413;1163;926
2414;1164;437
2415;1164;416
2416;1164;768
2417;1165;571
2418;1165;548
2419;1165;18
2420;1166;466
2421;1166;254
2422;1166;882
2423;1167;617
2424;1167;437
2425;1167;332
2426;1168;349
2427;1168;749
2428;1168;677
2429;1169;124
2430;1169;612
2431;1169;665
2432;1170;477
2433;1170;389
2434;1170;515
2435;1171;395
2436;1171;431
2437;1171;969
2438;1172;519
2439;1172;698
2440;1172;923
2441;1173;498
2442;1173;733
2443;1173;145
2444;1174;550
2445;1174;291
2446;1174;814
2447;1175;165
2448;1175;406
2449;1175;522
2450;1176;380
2451;1176;334
2452;1176;529
2453;1177;632
2454;1177;563
2455;1177;916
2456;1178;871
2457;1178;593
2458;1178;352
2459;1179;993
2460;1179;873
2461;1179;377
2462;1180;278
2463;1180;255
2464;1180;443
2465;1181;440
2466;1181;867
2467;1181;995
2468;1182;352
2469;1182;795
2470;1182;895
2471;1183;68
2472;1183;688
2473;1183;204
2474;1184;976
2475;1184;223
2476;1184;208
2477;1185;373
2478;1185;227
2479;1185;18
2480;1186;418
2481;1186;13
2482;1186;833
2483;1187;83
2484;1187;949
2485;1187;451
2486;1188;419
2487;1188;743
2488;1188;433
2489;1189;946
2490;1189;397
2491;1189;159
2492;1190;616
2493;1190;578
2494;1190;32
2495;1191;445
2496;1191;109
2497;1191;221
2498;1192;777
2499;1192;189
2500;1192;636
2501;1193;591
2502;1193;33
2503;1193;413
2504;1194;957
2505;1194;510
2506;1194;692
2507;1195;919
2508;1195;494
2509;1195;724
2510;1196;115
2511;1196;426
2512;1196;772
2513;1197;560
2514;1197;484
2515;1197;737
2516;1198;212
2517;1198;872
2518;1198;691
2519;1199;839
2520;1199;100
2521;1199;3
2522;1200;725
2523;1200;584
2524;1200;745
2525;1201;959
2526;1201;539
2527;1201;828
2528;1202;502
2529;1202;24
2530;1202;636
2531;1203;76
2532;1203;491
2533;1203;203
2534;1204;556
2535;1204;146
2536;1204;75
2537;1205;947
2538;1205;463
2539;1205;488
2540;1206;38
2541;1206;746
2542;1206;582
2543;1207;671
2544;1207;599
2545;1207;983
2546;1208;84
2547;1208;503
2548;1208;239
2549;1209;696
2550;1209;740
2551;1209;602
2552;1210;789
2553;1210;117
2554;1210;240
2555;1211;849
2556;1211;489
2557;1211;911
2558;1212;52
2559;1212;563
2560;1212;633
2561;1213;466
2562;1213;429
2563;1213;748
2564;1214;431
2565;1214;921
2566;1214;280
2567;1215;657
2568;1215;424
2569;1215;146
2570;1216;470
2571;1216;900
2572;1216;58
2573;1217;622
2574;1217;912
2575;1217;673
2576;1218;626
2577;1218;102
2578;1218;652
2579;1219;931
2580;1219;678
2581;1219;595
2582;1220;942
2583;1220;903
2584;1220;676
2585;1221;672
2586;1221;320
2587;1221;595
2588;1222;1004
2589;1222;201
2590;1222;15
2591;1223;481
2592;1223;340
2593;1223;255
2594;1224;254
2595;1224;503
2596;1224;744
2597;1225;186
2598;1225;721
2599;1225;14
2600;1226;940
2601;1226;613
2602;1226;243
2603;1227;388
2604;1227;200
2605;1227;847
2606;1228;601
2607;1228;462
2608;1228;505
2609;1229;131
2610;1229;149
2611;1229;352
2612;1230;303
2613;1230;459
2614;1230;373
2615;1231;486
2616;1231;301
2617;1231;44
2618;1232;331
2619;1232;510
2620;1232;546
2621;1233;190
2622;1233;321
2623;1233;22
2624;1234;160
2625;1234;733
2626;1234;152
2627;1235;580
2628;1235;425
2629;1235;383
2630;1236;638
2631;1236;19
2632;1236;201
2633;1237;948
2634;1237;94
2635;1237;658
2636;1238;984
2637;1238;926
2638;1238;667
2639;1239;557
2640;1239;783
2641;1239;220
2642;1240;774
2643;1240;178
2644;1240;587
2645;1241;377
2646;1241;127
2647;1241;512
2648;1242;155
2649;1242;253
2650;1242;798
2651;1243;197
2652;1243;611
2653;1243;443
2654;1244;379
2655;1244;569
2656;1244;695
2657;1245;756
2658;1245;683
2659;1245;135
2660;1246;649
2661;1246;815
2662;1246;109
2663;1247;119
2664;1247;269
2665;1247;989
2666;1248;91
2667;1248;521
2668;1248;310
2669;1249;997
2670;1249;13
2671;1249;103
2672;1250;479
2673;1250;61
2674;1250;890
2675;1251;223
2676;1251;467
2677;1251;653
2678;1252;851
2679;1252;275
2680;1252;846
2681;1253;368
2682;1253;312
2683;1253;458
2684;1254;342
2685;1254;337
2686;1254;656
2687;1255;249
2688;1255;287
2689;1255;686
2690;1256;546
2691;1256;674
2692;1256;720
2693;1257;567
2694;1257;674
2695;1257;659
2696;1258;260
2697;1258;333
2698;1258;885
2699;1259;394
2700;1259;324
2701;1259;439
2702;1260;213
2703;1260;755
2704;1260;104
2705;1261;275
2706;1261;51
2707;1261;442
2708;1262;33
2709;1262;861
2710;1262;161
2711;1263;243
2712;1263;731
2713;1263;904
2714;1264;306
2715;1264;841
2716;1264;251
2717;1265;752
2718;1265;986
2719;1265;651
2720;1266;298
2721;1266;545
2722;1266;821
2723;1267;447
2724;1267;781
2725;1267;543
2726;1268;371
2727;1268;227
2728;1268;21
2729;1269;433
2730;1269;79
2731;1269;108
2732;1270;303
2733;1270;177
2734;1270;988
2735;1271;363
2736;1271;875
2737;1271;250
2738;1272;648
2739;1272;465
2740;1272;383
2741;1273;517
2742;1273;427
2743;1273;584
2744;1274;625
2745;1274;361
2746;1274;941
2747;1275;589
2748;1275;122
2749;1275;864
2750;1276;922
2751;1276;1004
2752;1276;233
2753;1277;174
2754;1277;171
2755;1277;333
2756;1278;141
2757;1278;716
2758;1278;125
2759;1279;498
2760;1279;91
2761;1279;985
2762;1280;606
2763;1280;74
2764;1280;573
2765;1281;623
2766;1281;383
2767;1281;46
2768;1282;91
2769;1282;315
2770;1282;293
2771;1283;519
2772;1283;705
2773;1283;958
2774;1284;650
2775;1284;375
2776;1284;934
2777;1285;515
2778;1285;782
2779;1285;341
2780;1286;369
2781;1286;824
2782;1286;991
2783;1287;461
2784;1287;340
2785;1287;317
2786;1288;566
2787;1288;866
2788;1288;612
2789;1289;460
2790;1289;461
2791;1289;928
2792;1290;223
2793;1290;352
2794;1290;79
2795;1291;351
2796;1291;504
2797;1291;458
2798;1292;775
2799;1292;479
2800;1292;72
2801;1293;941
2802;1293;446
2803;1293;419
2804;1294;757
2805;1294;503
2806;1294;246
2807;1295;728
2808;1295;883
2809;1295;208
2810;1296;413
2811;1296;429
2812;1296;907
2813;1297;213
2814;1297;364
2815;1297;171
2816;1298;773
2817;1298;318
2818;1298;281
2819;1299;452
2820;1299;406
2821;1299;674
2822;1300;131
2823;1300;651
2824;1300;842
2825;1301;232
2826;1301;656
2827;1301;563
2828;1302;847
2829;1302;522
2830;1302;68
2831;1303;797
2832;1303;748
2833;1303;335
2834;1304;444
2835;1304;204
2836;1304;696
2837;1305;848
2838;1305;131
2839;1305;129
2840;1306;253
2841;1306;877
2842;1306;592
2843;1307;327
2844;1307;873
2845;1307;348
2846;1308;133
2847;1308;632
2848;1308;737
2849;1309;777
2850;1309;663
2851;1309;985
2852;1310;913
2853;1310;597
2854;1310;246
2855;1311;451
2856;1311;505
2857;1311;159
2858;1312;293
2859;1312;987
2860;1312;10
2861;1313;123
2862;1313;583
2863;1313;526
2864;1314;879
2865;1314;795
2866;1314;326
2867;1315;255
2868;1315;297
2869;1315;718
2870;1316;676
2871;1316;217
2872;1316;67
2873;1317;693
2874;1317;233
2875;1317;94
2876;1318;780
2877;1318;588
2878;1318;600
2879;1319;222
2880;1319;320
2881;1319;933
2882;1320;672
2883;1320;563
2884;1320;796
2885;1321;271
2886;1321;988
2887;1321;81
2888;1322;475
2889;1322;111
2890;1322;137
2891;1323;353
2892;1323;342
2893;1323;651
2894;1324;204
2895;1324;81
2896;1324;802
2897;1325;733
2898;1325;248
2899;1325;50
2900;1326;516
2901;1326;408
2902;1326;493
2903;1327;229
2904;1327;676
2905;1327;672
2906;1328;319
2907;1328;588
2908;1328;973
2909;1329;67
2910;1329;449
2911;1329;23
2912;1330;787
2913;1330;831
2914;1330;786
2915;1331;422
2916;1331;765
2917;1331;538
2918;1332;391
2919;1332;342
2920;1332;535
2921;1333;637
2922;1333;570
2923;1333;936
2924;1334;950
2925;1334;929
2926;1334;784
2927;1335;121
2928;1335;274
2929;1335;1007
2930;1336;167
2931;1336;849
2932;1336;712
2933;1337;1009
2934;1337;889
2935;1337;405
2936;1338;369
2937;1338;631
2938;1338;24
2939;1339;251
2940;1339;168
2941;1339;88
2942;1340;948
2943;1340;432
2944;1340;324
2945;1341;325
2946;1341;653
2947;1341;268
2948;1342;392
2949;1342;144
2950;1342;555
2951;1343;321
2952;1343;950
2953;1343;755
2954;1344;925
2955;1344;337
2956;1344;929
2957;1345;603
2958;1345;228
2959;1345;342
2960;1346;13
2961;1346;49
2962;1346;206
2963;1347;881
2964;1347;755
2965;1347;119
2966;1348;352
2967;1348;390
2968;1348;895
2969;1349;271
2970;1349;690
2971;1349;617
2972;1350;3
2973;1350;186
2974;1350;919
2975;1351;1005
2976;1351;246
2977;1351;237
2978;1352;446
2979;1352;507
2980;1352;185
2981;1353;415
2982;1353;507
2983;1353;279
2984;1354;885
2985;1354;557
2986;1354;126
2987;1355;980
2988;1355;479
2989;1355;466
2990;1356;892
2991;1356;26
2992;1356;490
2993;1357;348
2994;1357;268
2995;1357;296
2996;1358;674
2997;1358;463
2998;1358;291
2999;1359;66
3000;1359;467
