"f_id";"f_name";"type"
74;"New Dish Item 63";"Non-veg"
75;"New Dish Item 64";"Non-veg"
76;"New Dish Item 65";"Non-veg"
77;"New Dish Item 66";"Veg"
78;"New Dish Item 67";"Veg"
79;"New Dish Item 68";"Veg"
80;"New Dish Item 69";"Non-veg"
81;"New Dish Item 70";"Veg"
82;"New Dish Item 71";"Non-veg"
83;"New Dish Item 72";"Non-veg"
84;"New Dish Item 73";"Veg"
85;"New Dish Item 74";"Non-veg"
86;"New Dish Item 75";"Veg"
87;"New Dish Item 76";"Veg"
88;"New Dish Item 77";"Non-veg"
89;"New Dish Item 78";"Non-veg"
90;"New Dish Item 79";"Non-veg"
91;"New Dish Item 80";"Non-veg"
92;"New Dish Item 81";"Non-veg"
93;"New Dish Item 82";"Veg"
94;"New Dish Item 83";"Veg"
95;"New Dish Item 84";"Veg"
96;"New Dish Item 85";"Non-veg"
97;"New Dish Item 86";"Veg"
98;"New Dish Item 87";"Non-veg"
99;"New Dish Item 88";"Veg"
100;"New Dish Item 89";"Veg"
101;"New Dish Item 90";"Veg"
102;"New Dish Item 91";"Veg"
103;"New Dish Item 92";"Veg"
104;"New Dish Item 93";"Non-veg"
105;"New Dish Item 94";"Non-veg"
106;"New Dish Item 95";"Non-veg"
107;"New Dish Item 96";"Non-veg"
108;"New Dish Item 97";"Veg"
109;"New Dish Item 98";"Non-veg"
110;"New Dish Item 99";"Veg"
111;"New Dish Item 100";"Non-veg"
112;"New Dish Item 101";"Non-veg"
113;"New Dish Item 102";"Veg"
114;"New Dish Item 103";"Veg"
115;"New Dish Item 104";"Veg"
116;"New Dish Item 105";"Veg"
117;"New Dish Item 106";"Non-veg"
118;"New Dish Item 107";"Non-veg"
119;"New Dish Item 108";"Veg"
120;"New Dish Item 109";"Non-veg"
121;"New Dish Item 110";"Veg"
122;"New Dish Item 111";"Non-veg"
123;"New Dish Item 112";"Veg"
124;"New Dish Item 113";"Non-veg"
125;"New Dish Item 114";"Non-veg"
126;"New Dish Item 115";"Non-veg"
127;"New Dish Item 116";"Veg"
128;"New Dish Item 117";"Veg"
129;"New Dish Item 118";"Veg"
130;"New Dish Item 119";"Veg"
131;"New Dish Item 120";"Veg"
132;"New Dish Item 121";"Veg"
133;"New Dish Item 122";"Non-veg"
134;"New Dish Item 123";"Non-veg"
135;"New Dish Item 124";"Veg"
136;"New Dish Item 125";"Veg"
137;"New Dish Item 126";"Veg"
138;"New Dish Item 127";"Veg"
139;"New Dish Item 128";"Veg"
140;"New Dish Item 129";"Veg"
141;"New Dish Item 130";"Veg"
142;"New Dish Item 131";"Veg"
143;"New Dish Item 132";"Non-veg"
144;"New Dish Item 133";"Non-veg"
145;"New Dish Item 134";"Non-veg"
146;"New Dish Item 135";"Veg"
147;"New Dish Item 136";"Non-veg"
148;"New Dish Item 137";"Veg"
149;"New Dish Item 138";"Non-veg"
150;"New Dish Item 139";"Non-veg"
151;"New Dish Item 140";"Veg"
152;"New Dish Item 141";"Non-veg"
153;"New Dish Item 142";"Veg"
154;"New Dish Item 143";"Veg"
155;"New Dish Item 144";"Non-veg"
156;"New Dish Item 145";"Non-veg"
157;"New Dish Item 146";"Veg"
158;"New Dish Item 147";"Veg"
159;"New Dish Item 148";"Non-veg"
160;"New Dish Item 149";"Veg"
161;"New Dish Item 150";"Non-veg"
162;"New Dish Item 151";"Veg"
163;"New Dish Item 152";"Veg"
164;"New Dish Item 153";"Veg"
165;"New Dish Item 154";"Non-veg"
166;"New Dish Item 155";"Non-veg"
167;"New Dish Item 156";"Non-veg"
168;"New Dish Item 157";"Veg"
169;"New Dish Item 158";"Veg"
170;"New Dish Item 159";"Non-veg"
171;"New Dish Item 160";"Veg"
172;"New Dish Item 161";"Non-veg"
173;"New Dish Item 162";"Veg"
174;"New Dish Item 163";"Veg"
175;"New Dish Item 164";"Veg"
176;"New Dish Item 165";"Veg"
177;"New Dish Item 166";"Non-veg"
178;"New Dish Item 167";"Veg"
179;"New Dish Item 168";"Non-veg"
180;"New Dish Item 169";"Non-veg"
181;"New Dish Item 170";"Veg"
182;"New Dish Item 171";"Veg"
183;"New Dish Item 172";"Veg"
184;"New Dish Item 173";"Veg"
185;"New Dish Item 174";"Non-veg"
186;"New Dish Item 175";"Non-veg"
187;"New Dish Item 176";"Veg"
188;"New Dish Item 177";"Veg"
189;"New Dish Item 178";"Non-veg"
190;"New Dish Item 179";"Non-veg"
191;"New Dish Item 180";"Veg"
192;"New Dish Item 181";"Veg"
193;"New Dish Item 182";"Veg"
194;"New Dish Item 183";"Veg"
195;"New Dish Item 184";"Veg"
196;"New Dish Item 185";"Non-veg"
197;"New Dish Item 186";"Non-veg"
198;"New Dish Item 187";"Non-veg"
199;"New Dish Item 188";"Non-veg"
200;"New Dish Item 189";"Veg"
201;"New Dish Item 190";"Veg"
202;"New Dish Item 191";"Non-veg"
203;"New Dish Item 192";"Non-veg"
204;"New Dish Item 193";"Veg"
205;"New Dish Item 194";"Veg"
206;"New Dish Item 195";"Non-veg"
207;"New Dish Item 196";"Non-veg"
208;"New Dish Item 197";"Non-veg"
209;"New Dish Item 198";"Non-veg"
210;"New Dish Item 199";"Non-veg"
211;"New Dish Item 200";"Veg"
212;"New Dish Item 201";"Veg"
213;"New Dish Item 202";"Veg"
214;"New Dish Item 203";"Non-veg"
215;"New Dish Item 204";"Veg"
216;"New Dish Item 205";"Veg"
217;"New Dish Item 206";"Veg"
218;"New Dish Item 207";"Veg"
219;"New Dish Item 208";"Veg"
220;"New Dish Item 209";"Non-veg"
221;"New Dish Item 210";"Veg"
222;"New Dish Item 211";"Veg"
223;"New Dish Item 212";"Non-veg"
224;"New Dish Item 213";"Veg"
225;"New Dish Item 214";"Non-veg"
226;"New Dish Item 215";"Non-veg"
227;"New Dish Item 216";"Veg"
228;"New Dish Item 217";"Non-veg"
229;"New Dish Item 218";"Non-veg"
230;"New Dish Item 219";"Veg"
231;"New Dish Item 220";"Non-veg"
232;"New Dish Item 221";"Veg"
233;"New Dish Item 222";"Non-veg"
234;"New Dish Item 223";"Non-veg"
235;"New Dish Item 224";"Non-veg"
236;"New Dish Item 225";"Veg"
237;"New Dish Item 226";"Non-veg"
238;"New Dish Item 227";"Non-veg"
239;"New Dish Item 228";"Non-veg"
240;"New Dish Item 229";"Veg"
241;"New Dish Item 230";"Non-veg"
242;"New Dish Item 231";"Veg"
243;"New Dish Item 232";"Veg"
244;"New Dish Item 233";"Non-veg"
245;"New Dish Item 234";"Veg"
246;"New Dish Item 235";"Non-veg"
247;"New Dish Item 236";"Non-veg"
248;"New Dish Item 237";"Veg"
249;"New Dish Item 238";"Non-veg"
250;"New Dish Item 239";"Non-veg"
251;"New Dish Item 240";"Veg"
252;"New Dish Item 241";"Non-veg"
253;"New Dish Item 242";"Non-veg"
254;"New Dish Item 243";"Non-veg"
255;"New Dish Item 244";"Non-veg"
256;"New Dish Item 245";"Non-veg"
257;"New Dish Item 246";"Veg"
258;"New Dish Item 247";"Non-veg"
259;"New Dish Item 248";"Veg"
260;"New Dish Item 249";"Non-veg"
261;"New Dish Item 250";"Non-veg"
262;"New Dish Item 251";"Veg"
263;"New Dish Item 252";"Veg"
264;"New Dish Item 253";"Non-veg"
265;"New Dish Item 254";"Non-veg"
266;"New Dish Item 255";"Non-veg"
267;"New Dish Item 256";"Veg"
268;"New Dish Item 257";"Non-veg"
269;"New Dish Item 258";"Non-veg"
270;"New Dish Item 259";"Non-veg"
271;"New Dish Item 260";"Non-veg"
272;"New Dish Item 261";"Non-veg"
273;"New Dish Item 262";"Non-veg"
274;"New Dish Item 263";"Veg"
275;"New Dish Item 264";"Veg"
276;"New Dish Item 265";"Veg"
277;"New Dish Item 266";"Veg"
278;"New Dish Item 267";"Veg"
279;"New Dish Item 268";"Non-veg"
280;"New Dish Item 269";"Veg"
281;"New Dish Item 270";"Veg"
282;"New Dish Item 271";"Non-veg"
283;"New Dish Item 272";"Veg"
284;"New Dish Item 273";"Non-veg"
285;"New Dish Item 274";"Non-veg"
286;"New Dish Item 275";"Veg"
287;"New Dish Item 276";"Veg"
288;"New Dish Item 277";"Veg"
289;"New Dish Item 278";"Veg"
290;"New Dish Item 279";"Non-veg"
291;"New Dish Item 280";"Veg"
292;"New Dish Item 281";"Veg"
293;"New Dish Item 282";"Veg"
294;"New Dish Item 283";"Non-veg"
295;"New Dish Item 284";"Veg"
296;"New Dish Item 285";"Veg"
297;"New Dish Item 286";"Veg"
298;"New Dish Item 287";"Veg"
299;"New Dish Item 288";"Veg"
300;"New Dish Item 289";"Veg"
301;"New Dish Item 290";"Veg"
302;"New Dish Item 291";"Non-veg"
303;"New Dish Item 292";"Veg"
304;"New Dish Item 293";"Veg"
305;"New Dish Item 294";"Veg"
306;"New Dish Item 295";"Veg"
307;"New Dish Item 296";"Non-veg"
308;"New Dish Item 297";"Veg"
309;"New Dish Item 298";"Non-veg"
310;"New Dish Item 299";"Veg"
311;"New Dish Item 300";"Non-veg"
312;"New Dish Item 301";"Non-veg"
313;"New Dish Item 302";"Non-veg"
314;"New Dish Item 303";"Veg"
315;"New Dish Item 304";"Veg"
316;"New Dish Item 305";"Veg"
317;"New Dish Item 306";"Non-veg"
318;"New Dish Item 307";"Non-veg"
319;"New Dish Item 308";"Veg"
320;"New Dish Item 309";"Non-veg"
321;"New Dish Item 310";"Veg"
322;"New Dish Item 311";"Veg"
323;"New Dish Item 312";"Veg"
324;"New Dish Item 313";"Veg"
325;"New Dish Item 314";"Veg"
326;"New Dish Item 315";"Veg"
327;"New Dish Item 316";"Veg"
328;"New Dish Item 317";"Veg"
329;"New Dish Item 318";"Veg"
330;"New Dish Item 319";"Veg"
331;"New Dish Item 320";"Non-veg"
332;"New Dish Item 321";"Veg"
333;"New Dish Item 322";"Veg"
334;"New Dish Item 323";"Veg"
335;"New Dish Item 324";"Veg"
336;"New Dish Item 325";"Veg"
337;"New Dish Item 326";"Veg"
338;"New Dish Item 327";"Veg"
339;"New Dish Item 328";"Non-veg"
340;"New Dish Item 329";"Veg"
341;"New Dish Item 330";"Non-veg"
342;"New Dish Item 331";"Non-veg"
343;"New Dish Item 332";"Non-veg"
344;"New Dish Item 333";"Non-veg"
345;"New Dish Item 334";"Veg"
346;"New Dish Item 335";"Veg"
347;"New Dish Item 336";"Veg"
348;"New Dish Item 337";"Veg"
349;"New Dish Item 338";"Non-veg"
350;"New Dish Item 339";"Veg"
351;"New Dish Item 340";"Non-veg"
352;"New Dish Item 341";"Non-veg"
353;"New Dish Item 342";"Veg"
354;"New Dish Item 343";"Veg"
355;"New Dish Item 344";"Non-veg"
356;"New Dish Item 345";"Non-veg"
357;"New Dish Item 346";"Veg"
358;"New Dish Item 347";"Veg"
359;"New Dish Item 348";"Veg"
360;"New Dish Item 349";"Non-veg"
361;"New Dish Item 350";"Non-veg"
362;"New Dish Item 351";"Non-veg"
363;"New Dish Item 352";"Veg"
364;"New Dish Item 353";"Veg"
365;"New Dish Item 354";"Veg"
366;"New Dish Item 355";"Non-veg"
367;"New Dish Item 356";"Veg"
368;"New Dish Item 357";"Non-veg"
369;"New Dish Item 358";"Veg"
370;"New Dish Item 359";"Veg"
371;"New Dish Item 360";"Non-veg"
372;"New Dish Item 361";"Non-veg"
373;"New Dish Item 362";"Veg"
374;"New Dish Item 363";"Non-veg"
375;"New Dish Item 364";"Veg"
376;"New Dish Item 365";"Non-veg"
377;"New Dish Item 366";"Veg"
378;"New Dish Item 367";"Veg"
379;"New Dish Item 368";"Veg"
380;"New Dish Item 369";"Non-veg"
381;"New Dish Item 370";"Non-veg"
382;"New Dish Item 371";"Non-veg"
383;"New Dish Item 372";"Non-veg"
384;"New Dish Item 373";"Veg"
385;"New Dish Item 374";"Non-veg"
386;"New Dish Item 375";"Non-veg"
387;"New Dish Item 376";"Non-veg"
388;"New Dish Item 377";"Veg"
389;"New Dish Item 378";"Non-veg"
390;"New Dish Item 379";"Veg"
391;"New Dish Item 380";"Veg"
392;"New Dish Item 381";"Non-veg"
393;"New Dish Item 382";"Non-veg"
394;"New Dish Item 383";"Non-veg"
395;"New Dish Item 384";"Veg"
396;"New Dish Item 385";"Veg"
397;"New Dish Item 386";"Veg"
398;"New Dish Item 387";"Veg"
399;"New Dish Item 388";"Veg"
400;"New Dish Item 389";"Veg"
401;"New Dish Item 390";"Veg"
402;"New Dish Item 391";"Veg"
403;"New Dish Item 392";"Non-veg"
404;"New Dish Item 393";"Veg"
405;"New Dish Item 394";"Non-veg"
406;"New Dish Item 395";"Veg"
407;"New Dish Item 396";"Veg"
408;"New Dish Item 397";"Non-veg"
409;"New Dish Item 398";"Veg"
410;"New Dish Item 399";"Veg"
411;"New Dish Item 400";"Non-veg"
412;"New Dish Item 401";"Veg"
413;"New Dish Item 402";"Veg"
414;"New Dish Item 403";"Veg"
415;"New Dish Item 404";"Non-veg"
416;"New Dish Item 405";"Non-veg"
417;"New Dish Item 406";"Non-veg"
418;"New Dish Item 407";"Veg"
419;"New Dish Item 408";"Non-veg"
420;"New Dish Item 409";"Veg"
421;"New Dish Item 410";"Veg"
422;"New Dish Item 411";"Non-veg"
423;"New Dish Item 412";"Veg"
424;"New Dish Item 413";"Veg"
425;"New Dish Item 414";"Veg"
426;"New Dish Item 415";"Veg"
427;"New Dish Item 416";"Veg"
428;"New Dish Item 417";"Veg"
429;"New Dish Item 418";"Non-veg"
430;"New Dish Item 419";"Non-veg"
431;"New Dish Item 420";"Non-veg"
432;"New Dish Item 421";"Non-veg"
433;"New Dish Item 422";"Veg"
434;"New Dish Item 423";"Non-veg"
435;"New Dish Item 424";"Non-veg"
436;"New Dish Item 425";"Veg"
437;"New Dish Item 426";"Non-veg"
438;"New Dish Item 427";"Non-veg"
439;"New Dish Item 428";"Veg"
440;"New Dish Item 429";"Veg"
441;"New Dish Item 430";"Veg"
442;"New Dish Item 431";"Non-veg"
443;"New Dish Item 432";"Non-veg"
444;"New Dish Item 433";"Non-veg"
445;"New Dish Item 434";"Veg"
446;"New Dish Item 435";"Non-veg"
447;"New Dish Item 436";"Veg"
448;"New Dish Item 437";"Non-veg"
449;"New Dish Item 438";"Veg"
450;"New Dish Item 439";"Veg"
451;"New Dish Item 440";"Veg"
452;"New Dish Item 441";"Non-veg"
453;"New Dish Item 442";"Veg"
454;"New Dish Item 443";"Veg"
455;"New Dish Item 444";"Veg"
456;"New Dish Item 445";"Veg"
457;"New Dish Item 446";"Non-veg"
458;"New Dish Item 447";"Non-veg"
459;"New Dish Item 448";"Veg"
460;"New Dish Item 449";"Non-veg"
461;"New Dish Item 450";"Non-veg"
462;"New Dish Item 451";"Non-veg"
463;"New Dish Item 452";"Veg"
464;"New Dish Item 453";"Veg"
465;"New Dish Item 454";"Non-veg"
466;"New Dish Item 455";"Non-veg"
467;"New Dish Item 456";"Veg"
468;"New Dish Item 457";"Non-veg"
469;"New Dish Item 458";"Veg"
470;"New Dish Item 459";"Non-veg"
471;"New Dish Item 460";"Veg"
472;"New Dish Item 461";"Veg"
473;"New Dish Item 462";"Veg"
474;"New Dish Item 463";"Veg"
475;"New Dish Item 464";"Veg"
476;"New Dish Item 465";"Veg"
477;"New Dish Item 466";"Veg"
478;"New Dish Item 467";"Veg"
479;"New Dish Item 468";"Veg"
480;"New Dish Item 469";"Veg"
481;"New Dish Item 470";"Veg"
482;"New Dish Item 471";"Veg"
483;"New Dish Item 472";"Non-veg"
484;"New Dish Item 473";"Veg"
485;"New Dish Item 474";"Veg"
486;"New Dish Item 475";"Veg"
487;"New Dish Item 476";"Non-veg"
488;"New Dish Item 477";"Veg"
489;"New Dish Item 478";"Veg"
490;"New Dish Item 479";"Veg"
491;"New Dish Item 480";"Non-veg"
492;"New Dish Item 481";"Non-veg"
493;"New Dish Item 482";"Veg"
494;"New Dish Item 483";"Veg"
495;"New Dish Item 484";"Non-veg"
496;"New Dish Item 485";"Non-veg"
497;"New Dish Item 486";"Veg"
498;"New Dish Item 487";"Non-veg"
499;"New Dish Item 488";"Veg"
500;"New Dish Item 489";"Veg"
501;"New Dish Item 490";"Veg"
502;"New Dish Item 491";"Non-veg"
503;"New Dish Item 492";"Veg"
504;"New Dish Item 493";"Veg"
505;"New Dish Item 494";"Non-veg"
506;"New Dish Item 495";"Non-veg"
507;"New Dish Item 496";"Non-veg"
508;"New Dish Item 497";"Veg"
509;"New Dish Item 498";"Non-veg"
510;"New Dish Item 499";"Veg"
511;"New Dish Item 500";"Veg"
512;"New Dish Item 501";"Veg"
513;"New Dish Item 502";"Non-veg"
514;"New Dish Item 503";"Veg"
515;"New Dish Item 504";"Non-veg"
516;"New Dish Item 505";"Non-veg"
517;"New Dish Item 506";"Veg"
518;"New Dish Item 507";"Veg"
519;"New Dish Item 508";"Veg"
520;"New Dish Item 509";"Non-veg"
521;"New Dish Item 510";"Veg"
522;"New Dish Item 511";"Veg"
523;"New Dish Item 512";"Veg"
524;"New Dish Item 513";"Veg"
525;"New Dish Item 514";"Veg"
526;"New Dish Item 515";"Veg"
527;"New Dish Item 516";"Veg"
528;"New Dish Item 517";"Non-veg"
529;"New Dish Item 518";"Veg"
530;"New Dish Item 519";"Veg"
531;"New Dish Item 520";"Non-veg"
532;"New Dish Item 521";"Non-veg"
533;"New Dish Item 522";"Veg"
534;"New Dish Item 523";"Non-veg"
535;"New Dish Item 524";"Non-veg"
536;"New Dish Item 525";"Non-veg"
537;"New Dish Item 526";"Veg"
538;"New Dish Item 527";"Veg"
539;"New Dish Item 528";"Veg"
540;"New Dish Item 529";"Veg"
541;"New Dish Item 530";"Veg"
542;"New Dish Item 531";"Veg"
543;"New Dish Item 532";"Veg"
544;"New Dish Item 533";"Veg"
545;"New Dish Item 534";"Non-veg"
546;"New Dish Item 535";"Non-veg"
547;"New Dish Item 536";"Veg"
548;"New Dish Item 537";"Non-veg"
549;"New Dish Item 538";"Veg"
550;"New Dish Item 539";"Non-veg"
551;"New Dish Item 540";"Non-veg"
552;"New Dish Item 541";"Veg"
553;"New Dish Item 542";"Non-veg"
554;"New Dish Item 543";"Veg"
555;"New Dish Item 544";"Veg"
556;"New Dish Item 545";"Veg"
557;"New Dish Item 546";"Veg"
558;"New Dish Item 547";"Veg"
559;"New Dish Item 548";"Non-veg"
560;"New Dish Item 549";"Non-veg"
561;"New Dish Item 550";"Veg"
562;"New Dish Item 551";"Non-veg"
563;"New Dish Item 552";"Veg"
564;"New Dish Item 553";"Veg"
565;"New Dish Item 554";"Non-veg"
566;"New Dish Item 555";"Veg"
567;"New Dish Item 556";"Veg"
568;"New Dish Item 557";"Veg"
569;"New Dish Item 558";"Non-veg"
570;"New Dish Item 559";"Non-veg"
571;"New Dish Item 560";"Non-veg"
572;"New Dish Item 561";"Non-veg"
573;"New Dish Item 562";"Non-veg"
574;"New Dish Item 563";"Veg"
575;"New Dish Item 564";"Veg"
576;"New Dish Item 565";"Veg"
577;"New Dish Item 566";"Veg"
578;"New Dish Item 567";"Non-veg"
579;"New Dish Item 568";"Veg"
580;"New Dish Item 569";"Veg"
581;"New Dish Item 570";"Non-veg"
582;"New Dish Item 571";"Non-veg"
583;"New Dish Item 572";"Veg"
584;"New Dish Item 573";"Veg"
585;"New Dish Item 574";"Non-veg"
586;"New Dish Item 575";"Veg"
587;"New Dish Item 576";"Veg"
588;"New Dish Item 577";"Non-veg"
589;"New Dish Item 578";"Veg"
590;"New Dish Item 579";"Veg"
591;"New Dish Item 580";"Veg"
592;"New Dish Item 581";"Non-veg"
593;"New Dish Item 582";"Non-veg"
594;"New Dish Item 583";"Non-veg"
595;"New Dish Item 584";"Veg"
596;"New Dish Item 585";"Non-veg"
597;"New Dish Item 586";"Non-veg"
598;"New Dish Item 587";"Non-veg"
599;"New Dish Item 588";"Veg"
600;"New Dish Item 589";"Non-veg"
601;"New Dish Item 590";"Veg"
602;"New Dish Item 591";"Veg"
603;"New Dish Item 592";"Veg"
604;"New Dish Item 593";"Veg"
605;"New Dish Item 594";"Veg"
606;"New Dish Item 595";"Veg"
607;"New Dish Item 596";"Veg"
608;"New Dish Item 597";"Veg"
609;"New Dish Item 598";"Non-veg"
610;"New Dish Item 599";"Non-veg"
611;"New Dish Item 600";"Veg"
612;"New Dish Item 601";"Veg"
613;"New Dish Item 602";"Non-veg"
614;"New Dish Item 603";"Veg"
615;"New Dish Item 604";"Non-veg"
616;"New Dish Item 605";"Veg"
617;"New Dish Item 606";"Veg"
618;"New Dish Item 607";"Veg"
619;"New Dish Item 608";"Veg"
620;"New Dish Item 609";"Non-veg"
621;"New Dish Item 610";"Non-veg"
622;"New Dish Item 611";"Non-veg"
623;"New Dish Item 612";"Non-veg"
624;"New Dish Item 613";"Veg"
625;"New Dish Item 614";"Veg"
626;"New Dish Item 615";"Veg"
627;"New Dish Item 616";"Veg"
628;"New Dish Item 617";"Veg"
629;"New Dish Item 618";"Veg"
630;"New Dish Item 619";"Non-veg"
631;"New Dish Item 620";"Non-veg"
632;"New Dish Item 621";"Non-veg"
633;"New Dish Item 622";"Non-veg"
634;"New Dish Item 623";"Non-veg"
635;"New Dish Item 624";"Non-veg"
636;"New Dish Item 625";"Non-veg"
637;"New Dish Item 626";"Veg"
638;"New Dish Item 627";"Non-veg"
639;"New Dish Item 628";"Veg"
640;"New Dish Item 629";"Veg"
641;"New Dish Item 630";"Non-veg"
642;"New Dish Item 631";"Non-veg"
643;"New Dish Item 632";"Veg"
644;"New Dish Item 633";"Non-veg"
645;"New Dish Item 634";"Non-veg"
646;"New Dish Item 635";"Non-veg"
647;"New Dish Item 636";"Non-veg"
648;"New Dish Item 637";"Veg"
649;"New Dish Item 638";"Non-veg"
650;"New Dish Item 639";"Non-veg"
651;"New Dish Item 640";"Veg"
652;"New Dish Item 641";"Veg"
653;"New Dish Item 642";"Veg"
654;"New Dish Item 643";"Veg"
655;"New Dish Item 644";"Non-veg"
656;"New Dish Item 645";"Non-veg"
657;"New Dish Item 646";"Non-veg"
658;"New Dish Item 647";"Veg"
659;"New Dish Item 648";"Non-veg"
660;"New Dish Item 649";"Non-veg"
661;"New Dish Item 650";"Veg"
662;"New Dish Item 651";"Veg"
663;"New Dish Item 652";"Non-veg"
664;"New Dish Item 653";"Non-veg"
665;"New Dish Item 654";"Non-veg"
666;"New Dish Item 655";"Non-veg"
667;"New Dish Item 656";"Non-veg"
668;"New Dish Item 657";"Non-veg"
669;"New Dish Item 658";"Non-veg"
670;"New Dish Item 659";"Non-veg"
671;"New Dish Item 660";"Veg"
672;"New Dish Item 661";"Non-veg"
673;"New Dish Item 662";"Veg"
674;"New Dish Item 663";"Non-veg"
675;"New Dish Item 664";"Veg"
676;"New Dish Item 665";"Veg"
677;"New Dish Item 666";"Veg"
678;"New Dish Item 667";"Veg"
679;"New Dish Item 668";"Non-veg"
680;"New Dish Item 669";"Non-veg"
681;"New Dish Item 670";"Veg"
682;"New Dish Item 671";"Non-veg"
683;"New Dish Item 672";"Non-veg"
684;"New Dish Item 673";"Veg"
685;"New Dish Item 674";"Non-veg"
686;"New Dish Item 675";"Non-veg"
687;"New Dish Item 676";"Veg"
688;"New Dish Item 677";"Non-veg"
689;"New Dish Item 678";"Non-veg"
690;"New Dish Item 679";"Non-veg"
691;"New Dish Item 680";"Non-veg"
692;"New Dish Item 681";"Non-veg"
693;"New Dish Item 682";"Non-veg"
694;"New Dish Item 683";"Veg"
695;"New Dish Item 684";"Non-veg"
696;"New Dish Item 685";"Non-veg"
697;"New Dish Item 686";"Non-veg"
698;"New Dish Item 687";"Non-veg"
699;"New Dish Item 688";"Non-veg"
700;"New Dish Item 689";"Veg"
701;"New Dish Item 690";"Veg"
702;"New Dish Item 691";"Veg"
703;"New Dish Item 692";"Non-veg"
704;"New Dish Item 693";"Veg"
705;"New Dish Item 694";"Veg"
706;"New Dish Item 695";"Veg"
707;"New Dish Item 696";"Veg"
708;"New Dish Item 697";"Non-veg"
709;"New Dish Item 698";"Non-veg"
710;"New Dish Item 699";"Non-veg"
711;"New Dish Item 700";"Veg"
712;"New Dish Item 701";"Non-veg"
713;"New Dish Item 702";"Non-veg"
714;"New Dish Item 703";"Veg"
715;"New Dish Item 704";"Veg"
716;"New Dish Item 705";"Non-veg"
717;"New Dish Item 706";"Non-veg"
718;"New Dish Item 707";"Non-veg"
719;"New Dish Item 708";"Veg"
720;"New Dish Item 709";"Non-veg"
721;"New Dish Item 710";"Non-veg"
722;"New Dish Item 711";"Non-veg"
723;"New Dish Item 712";"Non-veg"
724;"New Dish Item 713";"Non-veg"
725;"New Dish Item 714";"Veg"
726;"New Dish Item 715";"Non-veg"
727;"New Dish Item 716";"Non-veg"
728;"New Dish Item 717";"Veg"
729;"New Dish Item 718";"Veg"
730;"New Dish Item 719";"Veg"
731;"New Dish Item 720";"Veg"
732;"New Dish Item 721";"Veg"
733;"New Dish Item 722";"Non-veg"
734;"New Dish Item 723";"Veg"
735;"New Dish Item 724";"Veg"
736;"New Dish Item 725";"Non-veg"
737;"New Dish Item 726";"Non-veg"
738;"New Dish Item 727";"Veg"
739;"New Dish Item 728";"Veg"
